Publication_Number,Title,Abstract,Inventors,Publication_Date,PDF_Link,resource
US9183351B2,Mobile system with network-distributed data processing for biomedical applications,"Adaptive system for medical monitoring distributes data processing among computing devices connected to a network to optimize usage of computational resources, network communication speed and user experience. Data processing is distributed into several levels with bi-directional communication between the levels (computing devices) to coordinate and adjust data compression, filtering, and analysis, as well as the size of buffered data available for transmission and/or receiving.",,2013-09-05,https://patentimages.storage.googleapis.com/70/b5/ff/345f4b17f92f57/US9183351.pdf,google patents
US11367519B1,Systems and methods for precision or personal pharmaceutical dosing,"Systems and methods are disclosed for providing recommended doses and instructions for pharmaceutical treatments by measuring physiological and/or electrophysiological signals from a subject and providing recommended doses and instructions of pharmaceuticals based at least in part on the measured signals. Further, the recommended doses and instructions are based at least in part on a subject's disease(s), disorder(s), or injuries and/or symptom(s) of such, and/or side effects of medications or treatments the subject is receiving. The recommended doses and instructions are personally tailored to the subject to precisely and personally address the subject's needs, and may be based in part on correlation with database(s) comprising historical data of the subject and/or other subjects to treat the subject's movement disorders, injuries to the body or brain, cognitive diseases and disorders, sleep diseases and disorders, chronic pain, or other conditions.",Brian Kolkowski,2022-06-21,https://patentimages.storage.googleapis.com/91/a5/da/2c780ae1644117/US11367519.pdf,google patents
CN107516110B,Medical question-answer semantic clustering method based on integrated convolutional coding,"The invention discloses a medical question-answer semantic clustering method based on integrated convolutional coding, which relates to the field of machine learning and comprises the following steps: and collecting the question and answer corpus of the medical consultation platform user, selecting convolution kernels, fusing the feature representation of different convolution kernels, acquiring final data representation by using a self-coding machine, and performing medical consultation question and answer semantic clustering. Compared with the traditional deep learning method: the method uses different convolution kernels to extract different characteristics, the extracted characteristics are more sufficient and diversified, and different characteristic combination methods are used to fuse and express the extracted characteristics, so that the method is strong in generalization capability and high in semantic clustering accuracy, can better help users to know self conditions and assist doctors in disease detection, and has great application value in building a medical automatic question-answering system.",,2017-12-26,https://patentimages.storage.googleapis.com/3c/a8/3b/77a1cefcc525af/CN107516110B.pdf,google patents
US20210138249A1,System and method for neural stimulation using spike frequency modulation,"Embodiments may comprise receiving electrical and optical signals from electrophysiological neural signals of neural tissue from at least one read modality, wherein the electrophysiological neural signals are at least one of Spike frequency modulated or Spike frequency demodulated, encoding the received electrical and optical signals using a Fundamental Code Unit, automatically generating at least one machine learning model using the Fundamental Code Unit encoded electrical and optical signals, generating at least one optical or electrical signal to be transmitted to the brain tissue using the generated at least one machine learning model, wherein the generated signals are at least one of Spike frequency modulated or Spike frequency demodulated, and transmitting the generated at least one optical or electrical signal to the neural tissue to provide electrophysiological stimulation of the neural tissue using at least one write modality.",,2021-05-13,https://patentimages.storage.googleapis.com/b3/ba/ef/415dca35520087/US20210138249A1.pdf,google patents
CN110458883B,"Medical image processing system, method, device and equipment","The application belongs to the technical field of medical image processing, mainly relates to a computer vision technology in artificial intelligence, and discloses a system, a method, a device and equipment for processing a medical image, wherein the method for processing the medical image comprises the steps of acquiring an original medical image to be identified, and obtaining a lesion region block in the original medical image through a segmentation model; and performing morphological operation on the obtained lesion area block to obtain the operated lesion area block and a lesion outline in the lesion area block. In this way, the precise boundary of the lesion outline can be determined, and the lesion position can be precisely positioned.",,2019-11-15,https://patentimages.storage.googleapis.com/51/de/9d/22d81678a882a8/CN110458883B.pdf,google patents
EP4002271A1,"Image segmentation method and apparatus, and storage medium","Embodiments of the present disclosure disclose an image segmentation method and apparatus and a storage medium. In the embodiments of the present disclosure, a target domain image and a source domain image that is labeled with target information are obtained first, then the source domain image and the target domain image are segmented by using a generative network in a first generative adversarial network and a generative network in a second generative adversarial network, next, a first source domain target image and a second source domain target image are determined according to a first source domain segmentation loss and a second source domain segmentation loss, a first target domain target image and a second target domain target image are determined according to a first target domain segmentation loss and a second target domain segmentation loss, then cross training is performed on the first generative adversarial network and the second generative adversarial network to obtain the trained first generative adversarial network, and a to-be-segmented image is then segmented based on the generative network in the trained first generative adversarial network to obtain a segmentation result.",,2022-05-25,https://patentimages.storage.googleapis.com/11/0f/14/834ce204649475/EP4002271A1.pdf,google patents
US10381006B1,Dialog management system for using multiple artificial intelligence service providers,"Implementations of the present disclosure include methods, systems, and computer-readable storage mediums for utilizing multiple AI service providers by a dialog management system. The dialog management system can include a dispatcher bot, multiple worker bots, and multiple AI adapters that are each associated with a different cloud-based AI service provider. In response to receiving a query, the dispatcher bot selects a particular worker bot to handle the query. The particular worker bot is assigned to a particular AI service provider. An AI adapter associated with the particular AI service provider, generates a query message based on the query. The AI adapter sends the query message to the particular AI service provider and receives a response message. The dialog management system sends a representation of the response message to the particular worker bot, receives an answer for the query from the particular worker bot, and provides the answer for output.",Christopher Wickes,2019-08-13,https://patentimages.storage.googleapis.com/0e/c8/c9/8dcced02e8e4ca/US10381006.pdf,google patents
US9427189B2,Monitoring system and device with sensors that are responsive to skin pigmentation,"A system is provided for using data based on user habit information or user monitoring. A monitoring device has one or more sensors that detect or measure user information selected from of at least one of, a user's activities, behaviors and habit information, and a user's health. The monitoring device includes circuitry that provides at least identification of the monitoring device, a communication system which reads and transmits an identification of the monitoring device, and a pathway system. A telemetry system is provided with a database of user ID's and is in communication with the monitoring device. A device determines a user's melanin level at a place where the monitoring device is positioned on the user. The user's melanin level is used with monitoring or measuring information relative to the user.",Bryan Fan,2014-09-04,https://patentimages.storage.googleapis.com/dc/be/e1/77b0ff05028199/US9427189.pdf,google patents
US20190369114A1,Highly multiplexed and mass spectrometry based methods to measuring 72 human proteins,"Sample preparation for proteomic analysis of complex biological samples by mass spectrometry is a tedious and time-consuming process with many steps where technical variations can be introduced and propagated. We describe an automated trypsin digestion workflow that yields uniformly-processed samples in less than 5 hours. Reproducible quantitation of hundreds of peptides from numerous proteins was seen across replicates, days, instruments, and laboratory sites, demonstrating the broad applicability of this approach.",Qin Fu,2019-12-05,https://patentimages.storage.googleapis.com/0f/3e/77/f52dbe3511712f/US20190369114A1.pdf,google patents
US20210358068A1,"Method for issuing a verified health pass, use thereof for entering a venue and contact tracing method","The provision of a pass that may be used in the field of infectious disease prevention and control and, more specifically, a method for the provision of a verified health pass that is indicative for at least one health status of an individual and can be used for allowing entry to a venue depending on said specific health status. The verified health pass may further be used for linking an individual's identity to an associated proximity detection device to allow contact tracing of individuals inside a venue while minimizing transfer of personal data.",Robert Anthony LEE,2021-11-18,https://patentimages.storage.googleapis.com/a5/04/0f/e5921229bbbd72/US20210358068A1.pdf,google patents
CA2832468C,Resolving genome fractions using polymorphism counts,"Methods of reliably estimating genomic fraction (e.g., fetal fraction) from polymorphisms such as small base variations or insertions-deletions are disclosed. Sequenced data from a multigenomic source is used to determine allele counts for one or more of the polymorphisms. For one or more of the polymorphisms, zygosity is assigned, and genomic fraction is determined from the zygosity and allele counts. Certain embodiments employ SNPs as the relevant polymorphism. The disclosed methods can be applied as part of an intentional, pre-designed re-sequencing study targeted against known polymorphisms or can be used in a retrospective analysis of variations found by coincidence in overlapping sequences generated from maternal plasma (or any other setting where a mixture of DNA from several people are present).",,2012-10-18,https://patentimages.storage.googleapis.com/d8/97/8c/583afce93e3a5c/CA2832468C.pdf,google patents
US20220062518A1,Intelligent Adjustment of Dialysis Machine Operations,"A remote service is implemented to automatically aggregate data across hemodialysis patients and hemodialysis patients and determine updated treatment options for patients to increase well-being and optimize performance of the hemodialysis machines. Patients or caregivers operating a hemodialysis machine or a local or remote user computing device associated with the hemodialysis machine can provide feedback regarding the patient's well-being to the remote service. The feedback can be provided at any of one or more times pre-treatment, during treatment, or post-treatment. Furthermore, the hemodialysis machine can be configured with one or more sensors that transmit data pertaining to device state of the hemodialysis machine, such as information about blood, dialysate used, saline solution, pump pressure, air trap and air detector, hemodialysis machine information (e.g., make and model), etc.",,2022-03-03,https://patentimages.storage.googleapis.com/1c/69/b8/81ab75d89fc388/US20220062518A1.pdf,google patents
US11158179B2,Method and system to improve accuracy of fall detection using multi-sensor fusion,A system for determining that a monitored person has experienced an event wherein the event is detrimental to the monitored person. The system comprises a first sensing component for producing a first sensed parameter value representative of a first sensed condition of the monitored person and a second sensing component activated responsive to the first sensed parameter value for producing a second sensed parameter value representative of a second sensed condition. A detecting component receives the first and second sensed parameter values for determining that the monitored person has experienced the event.,,2019-06-27,https://patentimages.storage.googleapis.com/4a/d6/38/76bb47d149cab8/US11158179.pdf,google patents
CN110491480B,"Medical image processing method and device, electronic medical equipment and storage medium","The embodiment of the invention discloses a medical image processing method, a medical image processing device, electronic medical equipment and a storage medium, belonging to the field of artificial intelligent medical treatment, wherein the method comprises the following steps: acquiring a biological tissue image containing biological tissue, identifying a first region of a focus object in the biological tissue image, and identifying a focus attribute matched with the focus object; dividing an image area of the biological tissue in the biological tissue image into a plurality of quadrant position areas; and acquiring target quadrant position information of a quadrant position area where the first area is located, and generating medical service data according to the target quadrant position information and the focus attribute. By adopting the invention, the efficiency of identifying the focus category and the focus quadrant position information can be improved.",,2019-11-22,https://patentimages.storage.googleapis.com/b4/01/41/948ec05f35208e/CN110491480B.pdf,google patents
US20200066391A1,Patient -centered system and methods for total orthodontic care management,"According to one or more embodiments, a computer implemented system for providing an orthodontic care management solution and a method for providing an orthodontic care management solution may be provided. The method may include receiving user data, such as by a user interface associated with an orthodontic care management platform. The method may further include obtaining authorization related information associated with the orthodontic care management solution. Additionally, the method may include determining a treatment plan for the user based on the user data and the authorization-related information. Also, the method may include determining a sequencing plan associated with the treatment plan based on an arrangement of one or more stages of operations associated with the treatment plan. The method may further include displaying the sequencing plan to the user. Further, the method may include receiving feedback data associated with the treatment plan. Additionally, the method may include updating the one or more databases with the feedback data. Further, the method may include performing an artificial intelligence enabled operation for providing the orthodontic care management solution.",Takao Kubota,2020-02-27,https://patentimages.storage.googleapis.com/cb/a0/e2/62bcbddc7c7c86/US20200066391A1.pdf,google patents
US20200395117A1,Adaptive image processing method and system in assisted reproductive technologies,"Adaptive image processing, image analysis, pattern recognition, and time-to-event prediction in various imaging modalities associated with assisted reproductive technology. The reference image may be processed according to one or more adaptive processing frameworks for de-speckling or noise processing of ultrasound images. The subject image is processed according to various computer vision techniques for object detection, recognition, annotation, segmentation, and classification of reproductive anatomy, such as follicles, ovaries and the uterus. An image processing framework may also analyze secondary data along with subject image data to analyze time-to-event progression of the subject image.",,2020-12-17,https://patentimages.storage.googleapis.com/3f/25/d3/b4d3636fb0512a/US20200395117A1.pdf,google patents
US20200297854A1,Nanotherapeutics for drug targeting,"The invention provides compositions and methods for targeted controlled drug release. The compositions and methods can be used for treating or imaging vascular stenosis, stenotic lesions, occluded lumens, embolic phenomena, thrombotic disorders and internal hemorrhage.",Netanel Korin,2020-09-24,https://patentimages.storage.googleapis.com/9c/76/6b/9298d773ccfb09/US20200297854A1.pdf,google patents
US20200279650A1,Medical treatment planning via sequential games,"A method and system for identifying a treatment plan identifies a description of a sequential game. The game is associated with treatment of a medical condition by a course of treatment or drug design. The description may include one or more possible treatment actions that a treater can take to treat the medical condition, and one or more possible medical condition actions that the medical condition can take. The system will identify a model for the sequential game, wherein the model is a large game associated with a large state space. The system may solve the model to generate a treatment plan for the medical condition, wherein the treatment plan includes a set of possible treatment actions. To accommodate the large state space, the system may divide processing steps so that at least some of the model solving is done by a graphics processing unit, while performing other functions via a central processing unit.",,2020-09-03,https://patentimages.storage.googleapis.com/00/ea/38/19cbc55a0d8c18/US20200279650A1.pdf,google patents
US20230148301A1,Systems and methods for micro network segmentation,"A wireless communication system includes an external provider subsystem and an electronic network subsystem in operable communication with the external provider subsystem. The electronic network subsystem is configured to provide a first microservice and a second microservice different from the first microservice. The wireless communication system further includes an in-home subsystem (i) separate from the external provider subsystem, (ii) in operable communication with the electronic network subsystem, and (iii) including a first micronet and a second micronet different from the first micronet. The first micronet is configured to operably interact with the first microservice, and the second micronet is configured to operably interact with the second microservice. The wireless communication system further includes at least one electronic device configured to operably connect with one of the first micronet and the second micronet.",Michael Glenn,2023-05-11,https://patentimages.storage.googleapis.com/07/3d/7e/2dcda1061160c9/US20230148301A1.pdf,google patents
US20230223121A1,Data based cancer research and treatment systems and methods,"A method and system comprising storing a set of user application programs each requiring an application specific subset of data to perform application processes and generate a respective genomic variant characterization for each of a plurality of patients with cancerous cells and receiving cancer treatment. The method including, obtaining clinical records data including cancer related information, generating genomic sequencing data for the patient's cancerous cells and normal cells, shaping at least a subset of the genomic sequencing data to generate system structured data. Storing the system structured data in a first database, selecting the application specific data from the first database, storing the application specific data in a second database for application program interfacing, receiving the respective genomic variant characterization from the user application program, and storing the genomic variant characterization from the user application program in a third database.",Isaiah Simpson,2023-07-13,https://patentimages.storage.googleapis.com/8f/38/6c/f3bbaf72289fc8/US20230223121A1.pdf,google patents
CA2910756C,Compounds and methods of treating infections,"The invention provides compounds of Formula (I), and methods of treating or preventing a bacterial infection in a subject using a compound of Formula (I). The invention also provides the use of a compound of Formula (I) in the manufacture of a medicament for the treatment of a bacterial infection in a subject. The invention further provides a medical device when used in a method of treating or preventing a bacterial infection in a subject and to a medical device comprising the composition of the invention.",,2014-11-06,https://patentimages.storage.googleapis.com/3f/6c/59/abf1608218debb/CA2910756C.pdf,google patents
KR102005979B1,Medical service information matching method,"Disclosed is a medical service information matching method, which is a method performed by a server. The medical service information matching method comprises the steps of: collecting patient information, wherein the patient information includes background information and condition information of a patient; collecting hospital information, wherein the hospital information includes background information and condition information of the hospital; matching at least one patient with at least one hospital based on the collected patient information and hospital information; providing information on the matched hospital to the matched patient; and providing information on the matched patient to the matched hospital.",,2019-07-31,https://patentimages.storage.googleapis.com/b6/ea/06/5a04e98bb8189c/KR102005979B1.pdf,google patents
CN112312801B,Home automation system with sleep improvement feature,The bed is provided with a mattress. The sensor is configured to sense a sleep reading of a user sleeping in the bed. The automation controller is configured to transmit the sleep readings to the cloud service. The hardware hosting the cloud service is configured to compare the sleep readings with the trend data to generate adjustments to the user's sleep environment.,,2021-02-02,https://patentimages.storage.googleapis.com/7b/e4/e5/ad2a0a89e470c8/CN112312801B.pdf,google patents
KR101887194B1,"Method for facilitating dignosis of subject based on medical imagery thereof, and apparatus using the same","The present invention relates to a method for supporting the reading of a medical image of a subject and a computing apparatus using the same. Specifically, the computing apparatus according to the present invention acquires the medical image of the subject, generates reading assistance information on the medical image based on a machine learning model from the input of the medical image, and provides the generated reading assistance information to an external entity. Accordingly, the present invention enables medical staff to conveniently write a reading result.",,2018-08-10,https://patentimages.storage.googleapis.com/e5/6c/d0/baa5febc2fe60f/KR101887194B1.pdf,google patents
US9049259B2,System and method for dynamically providing visual action or activity news feed,"The method of presenting and accessing visual, video, stream media or multimedia actions and activities feeds is described. A method includes monitoring, tracking, capturing & recording each user's sequences of a plurality of actions and activities with associate data and metadata from one or more sources based on one or more preferences, privacy settings and filtering of action or activity types, storing and processing each user's said plurality of actions and activities in a database in image frame(s), video, streaming media or multimedia data format with contextual, relevant and location & position specific one or more actions or activities items & associate data and metadata, generating visual, video, stream media or multimedia actions and activities feeds for one or more actions or activities for one or more determined receiving users based on one or more filters, preferences and privacy settings of sender(s) and/or receiver(s), dynamically presenting said visual or video actions and activities feeds from one or more sources or senders to one or more determined receiving or viewing users based on one or more filters, preferences and privacy settings of sender(s) and/or receiver(s), allowing viewing user to select, search, match, load, download, edit, filter, access, process and play, forward, backward, pause, stop said visual or video actions and activities feeds based on one or more preferences and settings, dynamically presenting current image frame(s), video, stream or multimedia data position specific or action or activity item(s) video clip specific one or more contextual, associate and relevant action or activity item(s) with associate data and metadata and allowing user to dynamically access said one or more presented dynamic, contextual, associate and relevant action or activity item(s) and associate data and metadata.",,2014-05-08,https://patentimages.storage.googleapis.com/60/60/b6/199e30785c9ebc/US9049259.pdf,google patents
US20190213860A1,"Geolocation bracelet, system, and methods","An identity, position, and/or health monitoring apparatus is provided. The apparatus includes a retention feature, such as a wristband, configured to removably secure the monitoring apparatus to a person, such as a child, pet, etc. Particularly, the band of the monitoring apparatus may be a flexible and/or stretchable band that may be worn around a part of the body, such as a wrist or ankle. The band may be defined by a circumferential member and/or may include first and second ends and a clasping mechanism configured to clasp and secure the first and second ends together, such as around the wrist or ankle of the user. In certain instances, the monitoring apparatus is retained within the band, and in other instances, the monitoring apparatus may be removable from the band, and the clasping mechanism may be configured for allowing the monitoring device to be removably attached therewith.",Thomas HARRAH,2019-07-11,https://patentimages.storage.googleapis.com/5f/8b/ef/97c737d5514056/US20190213860A1.pdf,google patents
US9662015B2,System or device with wearable devices having one or more sensors with assignment of a wearable device user identifier to a wearable device user,"A system provides assignment of a wearable device user identifier to a wearable device user. A wearable device has one or more sensors that detect or measure wearable device user information selected from of at least one of, a wearable device user's activities, behaviors and habit information, and a wearable device user's health. The wearable device includes a communication system, and a pathway system. A telemetry system has a database of wearable device user profiles. The telemetry system includes a processor and a wearable device user database. The processor has at least one of, access to the wearable device user database, at least partially creates the wearable device user database and at least partially determines a wearable device user profile. A wearable device user identifier of a wearable device user is assigned to the wearable device user before or after the wearable device user receives the wearable device.",Bryan Fan,2014-09-04,https://patentimages.storage.googleapis.com/02/2f/ea/378cb138edeeaa/US9662015.pdf,google patents
US9704209B2,Monitoring system and device with sensors and user profiles based on biometric user information,"A system selects a user profile based on biometric information. A wearable device is provided with one or more sensors that detect or measure user biometric information selected from of at least one of, a user's activities, behaviors and habit information, and a user's health. The wearable device includes circuitry that provides at least identification of the wearable device, a communication system, and a pathway system. A telemetry system is in communication with the wearable device. The telemetry system includes a database of user profiles. The telemetry system uses one or more processors to compare received biometric information from the wearable device, perform a comparison, and determine a user profile stored in a database. The telemetry system selects records of user biometric data of one or more users.",Bryan Fan,2014-09-04,https://patentimages.storage.googleapis.com/46/ed/e0/0a701efe6b3ddc/US9704209.pdf,google patents
US9367793B2,Wearable device with magnets distanced from exterior surfaces of the wearable device,A wearable device is provided with a wearable device structure. The wearable device has a first end and a second end. A plurality of magnets is positioned at the first and second ends that provide for coupling of the first end to the second end of the wearable device. At least a portion of the magnets are distanced from a first or second exterior surface of the wearable device structure in a range of 0.1 mm to 2.0 mm. ID circuitry is provided at a surface or an interior of the wearable device.,Bryan Fan,2014-09-04,https://patentimages.storage.googleapis.com/ae/14/09/f9bfe1c4a5b40a/US9367793.pdf,google patents
US9569719B2,Wearable device with magnets having first and second polarities,A wearable device is provided with a wearable device structure. The wearable device has first end and second ends. A plurality of magnets is positioned at the first and second ends that provide for coupling of the first end to the second end of the wearable device. At least a portion of the magnets have a first section with a first polarity and a second portion with a second polarity. ID circuitry is at a surface or an interior of the wearable device structure.,Bryan Fan,2016-12-08,https://patentimages.storage.googleapis.com/15/10/2c/1b8f0a4f6d2bc4/US9569719.pdf,google patents
US9576236B2,Wearable device with overlapping ends coupled by magnets positioned in the wearable device by an undercut,A wearable device includes a wearable device structure. The wearable device has a first end and a second end each with a plurality of magnets. The first and second ends are coupled by overlapping of at least a portion of the first end magnets to at least a portion of the second end magnets. The wearable device structure includes an undercut structure for receiving at least a portion of the magnets. ID circuitry is provided at a surface or an interior of the wearable device.,Bryan Fan,2016-12-08,https://patentimages.storage.googleapis.com/34/f9/ef/b3a09460a3e7ed/US9576236.pdf,google patents
US9462856B2,Wearable device with magnets sealed in a wearable device structure,A wearable device is provided with a wearable device structure with first end and second ends. A plurality of magnets is positioned at the first and second ends that provide for coupling of the first end to the second end of the wearable device structure. At least a portion of the magnets are sealed in the wearable device structure. ID circuitry is at a surface or an interior of the wearable device structure.,Bryan Fan,2014-09-04,https://patentimages.storage.googleapis.com/14/fe/af/68e195028e1480/US9462856.pdf,google patents
US9723898B2,Wearable device with interior frame,A wearable device includes a wearable device structure having first and second ends. A support member is positioned at least partially positioned in the wearable device structure. Electronic circuitry is at a surface or an interior of the wearable device. The electronic circuitry provides at least identification of the wearable device. One or more batteries are coupled to the electronic circuitry.,Bryan Fan,2017-01-26,https://patentimages.storage.googleapis.com/32/75/54/5041060a6be054/US9723898.pdf,google patents
US20200405204A1,Detection of catecholamine levels inside the neurocranium,"Embodiments of the present invention may provide techniques that provide improved detection of catecholamines, such as dopamine. For example, in an embodiment, a method for catecholamine sensing may comprise outputting a signal responsive to a level of at least one catecholamine in neural tissue from a catecholamine sensor, analyzing the signal responsive to a catecholamine level in the neural tissue using circuitry connected to the catecholamine sensor, the circuitry comprising at least one computing device comprising a processor, memory accessible by the processor, and program instructions stored in the memory and executable by the processor, generating, using the circuitry, data representing the catecholamine level in the neural tissue, and transmitting the generated data representing the catecholamine level in the neural tissue using communication circuitry.",,2020-12-31,https://patentimages.storage.googleapis.com/cb/64/cf/6f5d75d7243466/US20200405204A1.pdf,google patents
CN111275080B,"Artificial intelligence-based image classification model training method, classification method and device","The invention provides an artificial intelligence-based image classification model training method, a classification method, a device, electronic equipment and a storage medium; the method comprises the following steps: acquiring an original sample comprising an original image, an annotation area and an annotation label; the label tag is used for representing the classification result of the image in the label area in the original image; carrying out augmentation processing on the original image to obtain an augmented image; when the augmented image meets the augmentation condition corresponding to the annotation area, determining an augmented annotation label of the augmented image according to the annotation label, and constructing an augmented sample according to the augmented image and the augmented annotation label; updating the weight parameters of the image classification model according to the original sample and the augmented sample; and the updated image classification model is used for determining the classification result of the image to be processed. By the method and the device, the image augmentation and the accuracy of image classification can be improved.",,2020-06-12,https://patentimages.storage.googleapis.com/bf/58/d9/5103156b975ccc/CN111275080B.pdf,google patents
US20190259108A1,Controlled Agricultural Systems and Methods of Managing Agricultural Systems,"Furthermore, the disclosure relates to an agricultural system, which comprises a plurality of processing lines for growing plants of a given plant type, wherein a first processing line in the plurality of processing lines is configured to move a first plurality of plants through the agricultural system along a route; and apply a first growth condition to the first plurality of plants to satisfy a first active agent parameter for the first plurality of plants.",Sebastian Olschowski,2019-08-22,https://patentimages.storage.googleapis.com/2b/29/64/65233a21b1c6b6/US20190259108A1.pdf,google patents
US20210272700A1,Systems and Methods for Multi-Dimensional Fluid Modeling of an Organism or Organ,"A multiple fluid model tool for multi-dimensional fluid modeling of a biological structure is presented. For example, a system includes a modeling component, a machine learning component, and a three-dimensional health assessment component. The modeling component generates a three-dimensional model of a biological structure based on multi-dimensional medical imaging data. The machine learning component predicts one or more characteristics of the biological structure based on input data and a machine learning process associated with the three-dimensional model. The three-dimensional health assessment component that provides a three-dimensional design environment associated with the three-dimensional model. The three-dimensional design environment renders physics modeling data of the biological structure based on the input data and the one or more characteristics of the biological structure on the three-dimensional model.",Shane Cline,2021-09-02,https://patentimages.storage.googleapis.com/35/33/b8/5fdf0d67cc64b7/US20210272700A1.pdf,google patents
RU2673975C2,Segmentation of region of interest managed through eye tracking,FIELD: computer equipment.,,2018-11-23,https://patentimages.storage.googleapis.com/96/f9/93/4304db2d5d7929/RU2673975C2.pdf,google patents
US11663414B2,Controlled agricultural systems and methods of managing agricultural systems,"The present disclosure relates to different techniques of controlling an agricultural system, as for example a controlled agricultural system, an agricultural light fixture and a method for agricultural management.Furthermore, the disclosure relates to an agricultural system, which comprises a plurality of processing lines for growing plants of a given plant type, wherein a first processing line in the plurality of processing lines is configured to move a first plurality of plants through the agricultural system along a route; and apply a first growth condition to the first plurality of plants to satisfy a first active agent parameter for the first plurality of plants.",Sebastian Olschowski,2020-06-11,https://patentimages.storage.googleapis.com/36/65/0c/55ee59f4b486e3/US11663414.pdf,google patents
AU2017341065B2,Highly potent multimeric E-selectin antagonists,"Compounds, compositions, and methods for treatment and/or prevention of at least one disease, disorder, and/or condition by inhibiting binding of an E-selectin to an E-selectin ligand are disclosed. For example, highly potent multimeric E-selectin antagonist are dessorbed and pharmaceutical compositions comprising at least one of the same.",John L. Magnani,2019-04-18,https://patentimages.storage.googleapis.com/6b/52/7c/94ef3a7ded4a13/AU2017341065B2.pdf,google patents
US20220381795A1,Biomarkers and Methods for Measuring and Monitoring Inflammatory Disease Activity,"Biomarkers useful for diagnosing and assessing inflammatory disease are provided, along with kits for measuring their expression. The invention also provides predictive models, based on the biomarkers, as well as computer systems, and software embodiments of the models for scoring and optionally classifying samples. The biomarkers include at least two biomarkers selected from the DAIMRK group and the score is a disease activity index (DAI).",Yijing Shen,2022-12-01,https://patentimages.storage.googleapis.com/61/b9/84/e16cc6aeb618e2/US20220381795A1.pdf,google patents
US20220249272A1,Ostomy patient care system and method,"Systems and methods of providing post-operative ostomy patient care can include software and/or hardware that facilitates patient care personnel, such as a patient coach, providing remote patient care or coaching over a network to an ostomy patient. The care may be provided by specially trained former patients, nurses, or other care providers. The system can integrate sensor data from an ostomy device and inputs from the former patients, healthcare professionals, and/or device manufacturer in provide the post-operative care.",Karen Anaid Solis Gonzalez,2022-08-11,https://patentimages.storage.googleapis.com/48/22/3f/03c6d13343a675/US20220249272A1.pdf,google patents
US10426442B1,Adaptive image processing in assisted reproductive imaging modalities,"Adaptive image processing, image analysis, pattern recognition, and time-to-event prediction in various imaging modalities associated with assisted reproductive technology. The reference image may be processed according to one or more adaptive processing frameworks for de-speckling or noise processing of ultrasound images. The subject image is processed according to various computer vision techniques for object detection, recognition, annotation, segmentation, and classification of reproductive anatomy, such as follicles, ovaries and the uterus. An image processing framework may also analyze secondary data along with subject image data to analyze time-to-event progression of the subject image.",,2019-10-01,https://patentimages.storage.googleapis.com/f1/89/ab/ebc317b2f1f2df/US10426442.pdf,google patents
US7156809B2,Method and apparatus for health and disease management combining patient data monitoring with wireless internet connectivity,"Embodiments of the invention provide a method and apparatus for a wireless health monitoring system for interactively monitoring a disease or health condition of a patient by connecting a mobile phone to or with a digital camera and/or a medical monitoring device. The health related data or visual information from the camera is transmitted to a server using standard internet protocols and may be integrated with various operating systems for handheld or wireless devices, especially those with enhanced capabilities for handing images and visual data.",,2005-10-13,https://patentimages.storage.googleapis.com/33/2a/e3/e9027d3ecf9dc9/US7156809.pdf,google patents
US20230316530A1,Systems and methods for platform agnostic whole body image segmentation,"Presented herein are systems and methods that provide for automated analysis of three-dimensional (3D) medical images of a subject in order to automatically identify specific 3D volumes within the 3D images that correspond to specific anatomical regions (e.g., organs and/or tissue). Notably, the image analysis approaches described herein are not limited to a single particular organ or portion of the body. Instead, they are robust and widely applicable, providing for consistent, efficient, and accurate detection of anatomical regions, including soft tissue organs, in the entire body. In certain embodiments, the accurate identification of one or more such volumes is used to automatically determine quantitative metrics that represent uptake of radiopharmaceuticals in particular organs and/or tissue regions. These uptake metrics can be used to assess disease state in a subject, determine a prognosis for a subject, and/or determine efficacy of a treatment modality.",Kerstin Elsa Maria Johnsson,2023-10-05,https://patentimages.storage.googleapis.com/2e/09/b1/8b26ce8aa3eccd/US20230316530A1.pdf,google patents
US20220189147A1,"Object detection model training method and apparatus, object detection method and apparatus, computer device, and storage medium","An object detection model training method includes: inputting an unannotated first sample image into an initial detection model of a current round, and outputting a first prediction result for a target object, transforming the first sample image and a first prediction position region within the first prediction result to obtain a second sample image and a prediction transformation result in the second sample image; inputting the second sample image into the initial detection model, and outputting a second prediction result for the target object; obtaining a loss value of unsupervised learning according to a difference between the second prediction result and the prediction transformation result; and adjusting model parameters of the initial detection model according to the loss value and returning to the operation of inputting a first sample image into an initial detection model of a current round to perform iterative training, to obtain an object detection model.",Hong Shang,2022-06-16,https://patentimages.storage.googleapis.com/bb/24/df/f794596141b601/US20220189147A1.pdf,google patents
US11245691B1,Secure messaging in a blockchain network,Disclosed is a method for cross-authenticating non-credentialed devices and trusted blockchain enabled applications using multiple communications modalities and gathering information upon request for a blockchain network.,Benjamin James Taylor,2022-02-08,https://patentimages.storage.googleapis.com/4e/76/ec/4531f1defba440/US11245691.pdf,google patents
AU2019219864B2,Detection processes using sites of chromosome interaction,": 
A process for analysing epigenetically active regions of the genome.",Ewan HUNTER,2019-09-12,https://patentimages.storage.googleapis.com/ed/5a/43/6ce13f19ee5516/AU2019219864B2.pdf,google patents
