Title,Application Number,Applicant,Inventor,Abstract,Number element
RECOMMENDATION METHOD AND DEVICE FOR EXECUTING MEDICINE BOX COMPOSITION ACCORDING TO NEWLY PURCHASED MEDICINE INFORMATION,G16H 20/10,"ZUOCHENG 'AI (JIANGSU) HEALTH MANAGEMENT CONSULTING CO., LTD.",XING CHENG,"The invention provides a recommendation method and device for executing medicine box composition according to newly purchased medicine information and relates to the technical field of computers. Themethod comprises the steps that an existing medicine list of a user is obtained; according to the existing medicine list, existing medicine types of the user are obtained; a newly purchased medicine list of the user is obtained; according to the newly purchased medicine list of the user, newly purchased medicine types are obtained; whether the newly purchased medicine types exceeds an existing medicine type range or not is judged; if the newly purchased medicine types exceeds the existing medicine type range, a commonly prepared medicine list is adjusted according to the newly purchased medicine types. By comparing newly purchased medicines and the existing medicine list, the technical effects of updating the commonly prepared medicine list in time, avoiding purchase of undesired medicines, reducing economic losses and achieving efficient medicine utilization are achieved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN346617714&_cid=P12-LTRE0S-24981-8
WAISTLINE IS PRESSED TO HEAT,A61F 7/08,KUNMING HOSPITAL OF TRADITIONAL CHINESE MEDICINE,ZHANG JUN,"The utility model discloses a waistline is pressed to heat, include that waistline piece and both ends are provided with the area body of hasp, the middle part at the area body is made up to the waistline piece, be provided with the magic tape on the hasp, the interval is provided with a plurality of backing sheets in the waistline piece, and the health side of waistline piece has set gradually calorify thing bag and medicine bag. The utility model discloses the special traditional chinese medical science heat that is directed against is pressed the therapy and is designed, and simple structure manufactures easily, convenient to use, and application scope is wide, has good therapeutic action when having the fixed action of support concurrently.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN346617714&_cid=P12-LTRE0S-24981-8
APPLICATIONS OF BITTER AND COLD MEDICINES OR EXTRACT PRODUCTS OF BITTER AND COLD MEDICINES IN PREPARATION OF MEDICINES OR HEALTH CARE PRODUCTS USED FOR ADJUSTING BODY BIORHYTHM GENE PROTEIN EXPRESSION,A61K 36/756,JIANGXI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,ZENG ZHIJUN,"The invention belongs to the field of Chinese herbal medicine, and more specifically relates to applications of bitter and cold medicines or extract products of the bitter and cold medicines in preparation of medicines or health care products used for adjusting body biorhythm gene protein expression. High-fat diet is capable of changing the biorhythm of obesity rats, somnolence and diet reductionare caused; high-fat diet is capable of inhibiting rat biorhythm gene Arntl, Per3 and Clock transcription activity and expression, inhibiting liquid catabolism, promoting accumulation of fat in bodies, and increasing the content of triglycerides in blood. The bitter and cold medicines (Rhizoma Coptidis, root of large-flowered skullcap, phellodendron, radix gentianae, Sophora flavescens, and the like) are capable of reversing the biorhythm genes, and reducing the level of triglycerides in body serum.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN346617714&_cid=P12-LTRE0S-24981-8
MEDICINE DISPENSING DEVICE FOR PHARMACY ROOM,B01F 33/83,JIANGSU PROVINCE NANTONG HIGH-HEALTH VOCATIONAL AND TECHNICAL SCHOOL,CHEN ZHIXIAN,"The utility model is applicable to the technical field of pharmaceutical rooms, and provides a medicine dispensing device for a pharmaceutical room, which comprises a box body, supporting legs are fixedly mounted at the lower end of the box body, a fixing block is fixedly mounted on the inner wall of the lower side of the box body, a shell is fixedly mounted on the inner side of the fixing block, and a liquid inlet pipe is connected to the left side of the upper end of the shell in a penetrating manner; the discharging pipe is connected to the lower end of the middle side of the shell in a penetrating mode, a heating block is fixedly connected to the inner wall of the lower side of the shell, and a grinding mechanism is arranged in the upper end of the box body; the feeding pipe is connected to the upper side wall of the box body in a penetrating mode, a motor is fixedly installed at the upper end of the middle side of the box body through bolts, a transmission rod is fixedly connected to the output end of the motor, and a stirring mechanism is arranged at the lower end of the transmission rod. The medicine dispensing device for the pharmacy room is good in solid medicine grinding effect and high in efficiency, the ground solid medicine can be prevented from precipitating, and the mixing effect of a liquid medicine and the ground solid medicine is improved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN346617714&_cid=P12-LTRE0S-24981-8
MEDICINE ADMINISTERING SYSTEM INCLUDING INJECTION PEN AND COMPANION DEVICE,A61M 5/24,"COMPANION MEDICAL, INC.","SAINT, Sean","Methods, systems, and devices are disclosed for administering a medicament to a patient. In one aspect, a system includes an injection pen device in wireless communication with a mobile communication device. The injection pen device includes a housing including a chamber to encase a cartridge containing medicine, a dose setting and dispensing mechanism to set the mechanism to dispense a particular dose of the medicine from the loaded cartridge, a sensor unit to detect a dispensed dose based on positions and/or movements of the dose setting and dispensing mechanism, and an electronics unit in communication with the sensor unit to process the detected dispensed dose and time data associated with a dispensing event and to wirelessly transmit the dose data to a user's device. The mobile communication device provides a software application to provide the user with health information using the processed dose data.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN346617714&_cid=P12-LTRE0S-24981-8
"MOXA STICKS SPECIAL FOR MOXA MOXIBUSTION, HEALTH MAINTENANCE AND GYNECOLOGICAL DISEASE CURING AND PREPARATION METHOD THEREOF",A61K 36/8905,"HENAN SHURE KANG AI PRODUCTS CO., LTD.",MA MIN,"The invention discloses moxa sticks special for moxa moxibustion, health maintenance and gynecological disease curing. The moxa sticks special for moxa moxibustion, health maintenance and gynecological disease curing are prepared by mixing five-year old Ruyang Luli moxa floss and traditional Chinese medicine powder according to the weight ratio of 6:1, wherein the traditional Chinese medicine powder is prepared from, in percentage by weight, five-year old Ruyang Luli moxa floss, 30-35 g of herba leonuri, 15-20 g of olibanum, 15-20 g of carthami flos, 10-15 g of myrrha, 15-20 g of nutgrass galingale rhizome, 20-25 g of flower buds of garden balsam and 15-20 g of rhizoma corydalis. The preparation method includes the steps that around lunar May fifth, Luli moxa leaves are picked and processed by means of a moxa floss maker to produce 10:1 moxa floss, that is, 10 kg of the moxa leaves are made into 1 kg of the moxa floss; the traditional Chinese medicines are subjected to compatibility toprepare the traditional Chinese medicine powder; the moxa floss and the traditional Chinese medicine powder are evenly mixed according to the weight ratio of 6:1; rolling is conducted by means of a manual machine to make the mixture into the moxa sticks special for moxa moxibustion, health maintenance and gynecological disease curing.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
WESTERN MEDICINE STORAGE RACK FOR HOSPITAL PHARMACY,A47B 67/02,SHANDONG QINGDAO HEALTH SCHOOL,AI FUHUA,"The western medicine storage rack for the hospital pharmacy comprises a supporting frame, supporting rods are longitudinally and symmetrically installed on the inner wall of the supporting frame, the outer walls of the supporting rods are sleeved with moving assemblies, the moving assemblies internally comprise moving rings arranged on the outer walls of the supporting rods in a sleeved mode, threaded holes are formed in the moving rings, and the threaded holes are communicated with the threaded holes. The inner wall of the threaded hole is in threaded connection with a limiting bolt, one side of the outer wall of the moving ring is fixedly connected with an angle adjusting piece, and one side of the angle adjusting piece is movably connected with a placing plate; and through the arranged moving assembly, the situation that the height of the containing plate cannot be freely adjusted due to the fact that an existing western medicine storage frame is relatively poor in structure adjusting flexibility is effectively avoided, the height of the containing plate can be adjusted according to the size of medicine, and the functionality of the western medicine storage frame is improved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
PREPARATION METHOD OF TRADITIONAL CHINESE MEDICINE FOR TREATING SKIN DRYNESS,A61K 36/8966,ZHANG YANG,ZHANG YANG,"The invention relates to a preparation method of a traditional Chinese medicine for treating skin dryness. The method comprises the following steps: extracting 5g to 12g of mulberry leaves baked with honey, 10g to 12g of burdock, 6g to 9g of fermented soya beans, 6g to 9g of burdock, 10g to 16g of bulbus fritillariae cirrhosae, 3g to 7g of fructus gardeniae, 5g to 18g of licorice root, 5g to 8g of vaseline and 8g to 11g of radix glehniae twice by adding water, wherein for the first time, soaking for 0.5 hour and decocting for 2 hours by adding the water which is five times as the adding amount of the traditional Chinese medicines; for the second time, decocting for 1 hour by adding the water which is ten times as the adding amount of the traditional Chinese medicine; then mixing medicine liquids obtained twice; heating and concentrating the mixed medicine liquid to reach 500ml; and adding 5g to 8g of vaseline into the mixed medicine liquid. Thus, the medicine liquid can be used for smearing skin, and has the functions of anti-inflammation and lubrication. The method is simple and few in steps. The traditional Chinese medicine is rapid in efficacy, good in effect, capable of relieving the pain of a patient, simple in formula and low in cost. The traditional Chinese medicine can be used for complementing lung qi so as to increase body health.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
A SUPERMOLECULE COMPOSITION OF WATER-SOLUBLE COENZYME Q10 AND PREPARATION METHOD THEREOF,A61K 31/22,SHENYANG WANJIA INSTITUTE OF BIOLOGICAL TECHNOLOGY RESEARCH,"DONG, Yingjie","A supermolecule composition of water-soluble coenzyme Q10 and preparation method thereof, wherein the composition has therapeutic effect on cardiovascular disease, hepatitis, hypoimmunity etc and is involved in the field of medicine and health care products. The composition is consist of coenzyme Q10, cyclodextrins and emulsifiers, wherein the ratio of the components by weight is in the range of 1:1-50:0.1-10. The supermolecule composition is produced by homogenization of materials using high speed homogenizer or ultrasound or colloid mill in water, then using high-pressure homogenizer, at the end, by spray drying or freezedrying , and pelletization. The composition has higher solubility, dissolution, stability and relative bioavailability.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
METHOD FOR PREPN. OF NUTRIMENT USING TORTOISE OR SOFT-SHELLED TURTLE,A22C 29/00,Zhu Shengtian,Zhu Shengtian,"A method to produce nutritive food from tortoise and/or soft-shelled turtle features that the active nutrients in their edible and non-edible parts are biologically extracted while their physiological activity is maintained to transform them into amino acids and peptides matters which is easily absorbed by organism. In juction with Chinese medicine, it has nutritive, health-care and beautifying functions.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
REMOTE INTELLIGENT CUN-GUAN-CHI PULSE FEELING DEVICE,G16H 40/67,ZHOU JIAN,ZHOU JIAN,"The invention discloses a remote intelligent cun-guan-chi pulse feeling device, and relates to remote application of an AI bionic robot based on an intelligent cloud mobile phone system platform for realizing a traditional Chinese medicine inspection and inquiry diagnosis technology. The system is provided with a cloud hand pulse terminal, a cloud consultation terminal and an intelligent cloud system. The cloud hand vein terminal is provided with three fingertip touch sensors which respectively touch cun-guan-chi parts, and the cloud consultation terminal is provided with three finger discs. The pulse-taking action drives three fingertips of the cloud hand pulse terminal to simulate corresponding actions through change signals of force application when fingers touch the three finger discs.The two terminal screens synchronously display cun-guan-chi waveforms of a diagnosed person, and pulse-taking visualization is achieved. A nano nose arranged on the cloud hand pulse terminal realizesan auditory diagnosis function. All diagnostic information can be stored in a terminal and a cloud end, an artificial intelligence ecological mode with an autonomous learning function is set, and real-time upgrading of the cloud traditional Chinese medicine is achieved. The tracing, revenue and protection of the generated data assets are realized by adopting a block chain technology. The health science based on traditional Chinese medicine prevention is practically popularized for people's livelihood.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
A NOVEL HERBAL FORMULATION (OA-F2) FOR USE IN OSTEOARTHRITIS,A61K 36/48,DR. SURESH D. JAGTAP,DR. SURESH D. JAGTAP,"Osteoarthritis (OA) is one of the most commonly occurring degenerative diseases amongst the elderly population in the world (Peat et ai, 2001), that reflects the imbalance between destruction and repair mechanism of cartilage tissue, bone, synovium, joint capsule, ligaments, tendons and muscles (Little and Fosang, 2010, Boyan et ah, 2013). OA is considered to be the 4th leading cause of ""years lived with disability"" (World Health Organisation, 2006). It imposes a global burden of around 1 - 2.5% of total gross national products (Xie et al., 2008). The incidence of OA is on rise and is estimated to affect more than 25% of the adult U.S. population by 2030 (Hootman and Helmick, 2006). A number of drugs like analgesics, non-steroidal antiinflammatory drugs (NSAIDs) are referenced as useful agents in the management of OA but no drug has been able to satisfy both efficacy and safety (Zhang et al., 2008), It is an established fact that current available treatments for OA are associated with several side effects (Huh et al., 2008). Thus, it is imperative to explore traditional systems of medicine for a potential drug that may help to reduce inflammation, protect cartilage damage, offer relief from disease symptoms and restore patient activity levels and improve joint functions.Medicinal herbs have been effectively used for their anti-inflammatory activity, but their exact role has not yet been documented in scientific literature for the management of OA. The prior art studies in our lab have shown the efficacy of such herbs, which have been widely used in traditional medicine to treat arthritis; in which we have tested comparative anti-osteoarthritic potential of Sida cordifolia L., Piper longum L,, Zingiber officinale Rose, Ricinus communis L., Vitex negundo L. and Tribulus terrestris L. using collagenase type II-induced osteoarthritis (CIOA) rat model. On the basis of results obtained, we have developed a new formulation using specific combination of effective herbs to enhance efficacy of formulation synergistically and checked anti-osteoarthritic potential of new formulations using CIOA model. Based on these results we have prioritized one formulation, hereafter referred as OA-F2 showing highest activity. Present work will discuss about anti-osteoarthritic potential of OA-F2 using CIOA model. Arthritis was induced in wistar rats by intra-articular injection of collagenase type II. OA-F2 was given orally for 20 days (135, 270 and 540 mg/kg b. wt). The effects of the treatment in the rats were monitored by physiological parameters like knee diameter, paw volume, paw retraction; blood parameters studied are glycosaminoglycan (GAG) release, C-reactive protein (CRP), alkaline phosphatase (ALP); radiography and histopathology of knee joint were also studied. Additionally, we have isolated synovium tissue of rats treated with OA-F2 and studied detailed gene expression study proving anti-osteoarthritic potential of OA-F2. OA-F2 has significantly prevented knee swelling compared to arthritic control (CIOA). Both OA-F2 and diclofenac (standard drug, 10 mg/kg), significantly reduced paw volume compared to CIOA. Paw latency also remarkably decreased by OA-F2 compared to CIOA. GAG release in the serum was significantly lowered in OA-F2 treated group compared to diclofenac. Similarly, OA-F2 has markedly reduced levels of CRP and ALP compared to diclofenac. The anterior posterior radiographs of OA-F2 treated group showed a protective effect against OA. Histopathology revealed protection in the structure of the articular cartilage and in chondrocyte pathology as well as reduced clefting. Treatment with OA-F2 has shown chondroid matrix within normal limits. From gene expression pattern, it is observed that OA-F2 has therapeutic effects on an OA rat model by prominent cartilage protection through controlling MMPs levels, and anti-oxidant levels in arthritic synovium and it has no adverse effects. This new formulation possesses excellent anti-osteoarthritic activity and is a potent candidate for further drug development as a treatment for OA.In this application, we report a novel and effective formulation for the treatment of osteoarthritis which is developed from combination oiSida cordifolia L. and Zingiber officinale Rose, named as OA-F2.References:• Boyan B et al., Biol. Sex. Diffe. 2013, 4: 1-5.• Hootman M and G Helmick, Arthritis Rheum. 2006, 54: 226-229.• Little B and J. Fosang Curr. Drug Targets. 2010, 11: 561-575.• Peat G et al., Ann. Rheum. Dis. 2001, 60: 91-97.• Xie F et al., Value in health. 2008, 11: 84-90.• Zhang W et al., Osteoarthr. Cartil. 2008, 16: 137-162.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
"AN IN VITRO ACTIVITY ASSAY FOR HUMAN HEPATITIS B VIRUS (HBV) DNA POLYMERASE, AND ITS USE FOR SCREENING FOR INHIBITORS OF HBV DNA POLYMERASE",C12N 9/12,GOVERNMENT OF THE REPUBLIC OF SINGAPORE,"OON, Chong, Jin","The present invention provides an in vitro activity assay for human hepatitis B virus (HBV) DNA polymerase, which comprises using, as the 5' oligonucleotide in PCR amplification of HBV DNA polymerase from a sample, an oligonucleotide into which has been incorporated the SP6 viral polymerase promoter, directly transcribing and translating the PCR products in the presence of a radio-labelled agent and measuring the priming of the HBV DNA polymerase. The present invention also provides the use of such an assay to assay activity of various serum samples, to screen for inhibitors of the HBV DNA polymerase and to test and/or screen potential anti-HBV drugs for their ability to inhibit DNA priming activity of human HBV DNA polymerase.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
MILD COGNITIVE IMPAIRMENT ASSESSMENT SYSTEM AND METHOD BASED ON TRADITIONAL CHINESE MEDICINE SYNDROME TYPE,A61B 5/00,HUBEI UNIVERSITY OF CHINESE MEDICINE,HU HUI,"The invention discloses a mild cognitive impairment assessment system and method based on traditional Chinese medicine syndromes. The system comprises an evaluation end and a system end which are in communication connection, the evaluation end carries out cognitive evaluation on a user, and the system end is used for storing cognitive evaluation data of the evaluation end and carrying out data interaction. Obtaining personal information and cognitive evaluation data of the user based on the first-level evaluation system; judging whether the user has mild cognitive impairment or not according to the personal information of the user and the cognitive evaluation data, and if not, ending evaluation; if yes, acquiring traditional Chinese medicine syndrome type evaluation data and physical and psychological health data of the user based on a secondary evaluation system; and according to the traditional Chinese medicine syndrome type evaluation data and the physical and psychological health data, performing mild cognitive impairment analysis on the user to obtain related factors affecting the cognitive function of the user. According to the method, screening, diagnosis and classification of the mild cognitive impairment can be rapidly completed through multiple indexes, on the basis of key technologies such as a multi-mechanism algorithm and on the basis of traditional Chinese medicine typing.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
METHOD OF HEALTH ASSESSMENT OF OPERATORS,A61B 5/0452,,Батищева Галина Александровна (RU),"FIELD: medicine. SUBSTANCE: modification coefficient is calculated by formula: where M is a modification coefficient of each factor, Ai is one of factors under consideration, Amax and Amin are ranges of factors in healthy persons and hypertensive patients. For cholesterol (Mch) there are Amin=1.0, Amax=8.8 mmol/l; for triglycerides (Mtg) there are Amin=0.2, Amax=7.5 mmol/l, for beta-lipoproteins (Mlp) there are Amin=0.5, Amax=7.0 mmol/l, for atherogenicity coefficient (Mac) there are Amin=0.5, Amax=8.0, for adrenoreactivity level of red blood cell membranes (Marm) there are Amin=1.0, Amax=98 standard units, for variation pulsometry - mode amplitude (MAm) Amin=3.5, Amax=98%, stress-index (MSi) Amin=2.0, Amax=950 standard units, low-frequency subspectrum (MLF) Amin=5.0, Amax=90%, for visual-motor response measurements there are simple motor reaction time (Msmr) Amin=170, Amax=750 ms, complex motor reaction time for green light (Mcmr green) Amin=200, Amax=950 ms, complex visual-motor reaction time for red light (Mcmr red) Amin=200, Amax=950 ms, advance time (Mat) Amin=0.1, Amax=200 ms, delay time (Mdt) Amin=0.l, Amax=200 ms, for cardiovascular system measures there are systolic blood pressure (Msbp) Amin=85, Amax=200 mm Hg, diastolic blood pressure (Mdbp) Amin=50, Amax=120 mm Hg, stroke volume index (Msvi) Amin=1.3, Amax=6.0 l*min/m2, end-diastolic volume (Medv) Amin=62, Amax=220 ml, end-systolic volume (Mesv) Amin=15, Amax=120 ml, cardiac rate (Mcr) Amin=62, Amax=220 bpm. Then metabolic function index (MFI), regulatory system index (RSI), psychophysiological function index (PFI), cardiovascular system index (CSI) are to be calculated . Provided MFI is less than 9 units, RSI is less than 10 units, PFI is less than 10 units, and CSI does not exceed 14 units, standard state is certified, while higher levels indicate that correction of the relevant systems is required. EFFECT: extended range of aids used to assess health of operators. 12 tbl, 4 ex",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN226040940&_cid=P12-LTRE0S-24981-9
SMALL TRADITIONAL CHINESE MEDICINE BELLYBAND,A41B 13/00,YUNXIAN HOSPITAL OF TCM,ZI WENCHUN,"The utility model relates to a small traditional Chinese medicine bellyband. Small bellyband, small bellyband concave arc sections are arranged at the two ends of the small bellyband; a small bellyband large arc-shaped section is arranged at the lower end of the small bellyband concave arc-shaped section; a medicine bag is arranged on the large face of the large arc section of the small bellyband,a medicine bag opening is formed in the medicine bag, the medicine bag can be placed into the medicine bag through the medicine bag opening, the upper portion of the medicine bag is a medicine bag top flat end, the lower end of the medicine bag is a medicine bag lower arc end corresponding to the radian of the large arc section of the small bellyband, and a plurality of medicine lattices are arranged separately. The traditional Chinese medicine external application technology is integrated into the small bellyband; medicine bag design, replaceable medicine bag, the warm-keeping effect is realized; the traditional Chinese medicine small bellyband further has treatment, prevention and health care effects and the like, the problems of poor child compliance and difficulty in cooperative treatment are solved, the medicine containing bag and the medicine bag of the traditional Chinese medicine small bellyband are designed to be in the shape matched with the size of the large arc section atthe lower end of the small bellyband, the medicine bag can completely wrap the belly of a child, and therefore the disease prevention and treatment effect can be better achieved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
INHIBITION OF INFLUENZA VIRUS REPLICATION BY OLIGONUCLEOTIDE PHOSPHOROTHIOATES,C07H 21/00,Worcester Foundation for Experimental Biology,Agrawal Sudhir,"A method of inhibiting influenza virus replication through the activity of natural (unmodified) or modified oligonucleotides (oligodeoxynucleotides or oligoribonucleotides) which hybridize to a selected region of the influenza virus RNA and interfere with its ability to serve as a template for synthesis of encoded products. Oligonucleotides (unmodified or modified) which have antiviral activity against influenza virus as a result of their ability to hydridze to a selected region of influenza virus RNA and inhibit its ability to serve as a template for synthesis of encoded products, as well as compositions which include the oligonucleotides. -GOVT PAC FUNDING PAR Work described herein was supported by the National Institutes of Health (#AI-11823), the Boehringer Ingelheim Foundation, the G. Harold and Leila Y. Mathers Foundation, the Worcester Foundation for Experimental Biology and the Mount Sinai School of Medicine. The U.S. government has certain rights in the invention.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
HEALTH IRISH CREAM PREPARED FROM EIGHT TRADITIONAL CHINESE MEDICINAL SEEDS AND PREPARATION METHOD THEREOF,C12G 3/04,"Shanghai Jian Yin Food Science & Technology Co., Ltd.",Ai Chuxiang,"The invention relates to a health Irish cream prepared from eight traditional Chinese medicinal seeds and a preparation method thereof. The health Irish cream is characterized by comprising the following components: the mixture of eight seeds, namely the fruit of Chinese wolfberry, milkvetch seed, the seed of Chinese dodder, the seed of raspberry, the fruit of Chinese magnoliavine, the fruit of mulberry, Chinese chive seed and plantain seed, dairy products, wine products, absorbent, sweetener, flavoring additives and water. The invention has the advantages that the form, flavor and taste of the prepared Irish cream is basically similar to the Bailey's Irish Cream; protein, fat, flavor substances and alcohol can be better blended; and fives traditional Chinese medicinal seeds in Five Seeds Combo are expanded to eight traditional Chinese medicinal seeds which have better functions of protecting liver, tonifying the kidney, strengthening health and prolonging life, the special traditional Chinese medicinal flavors of the traditional Chinese medicine can be integrated with the flavor of the wine body through embedding, adsorbing and masking.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
CALCULATION METHOD FOR EFFECTIVE ATOMIC NUMBER OF SUBSTANCE,G01N 23/087,"NATIONAL CENTER FOR OCCUPATIONAL SAFETY AND HEALTH, NHC (NATIONAL CENTER FOR OCCUPATIONAL MEDICINE OF COAL INDUSTRY, NHC)",ZHANG WEIJUN,"The embodiment of the invention provides a calculation method for the effective atomic number of a substance, which comprises the following steps of: firstly, determining a plurality of elements Zi forming the substance to be analyzed and the share ai of the electron number of each element in the total electron number of the substance to be analyzed, and then calculating the relative parameter mi of the photoelectric effect of the interaction between X and gamma rays and each element forming the substance to be analyzed to fully consider the change of the photoelectric effect related parameter mi of the interaction between X and gamma rays and each element in different application scenes, and finally, calculating the effective atomic number Zeff of the substance to be analyzed according to the share ai of the electron number of each element in the total electron number of the substance to be analyzed and the photoelectric effect related parameter mi to improve the calculation precision of analyzing the effective atomic number of the substance by using the radiation technology.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
"AN IN VITRO ACTIVITY ASSAY FOR HUMAN HEPATITS B VIRUS (HBV) DNA POLYMERASE, THE USE OF SUCH AN ASSAY TO ASSAY ACTIVITY OF VARIOUS SERUM SAMPLES AND TO SCREEN FOR INHIBITORS OF THE HBV DNA POLYMERASE AND A METHOD OF PRODUCING HBV DNA POLYMERASE",C12N 9/12,GOVERNMENT OF THE REPUBLIC OF SINGAPORE,"OON, Chong, Jin","The present invention provides an in vitro assay for human hepatitis B virus (HBV) DNA polymerase, which comprises using, as the 5' oligonucleotide in PCR amplification of HBV DNA polymerase from a sample, an oligonucleotide into which has been incorporated the SP6 viral polymerase promoter, directly transcribing and translating the PCR products in the presence of a radio-labelled agent and measuring the priming of the HBV DNA polymerase. The present invention also provides the use of such an assay to assay activity of various serum samples, to screen for inhibitors of the HBV DNA polymerase and to test and/or screen potential anti-HBV drugs for their ability to inhibit DNA priming activity of human HBV DNA polymerase.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
REGULATION OF CYTOKINE PRODUCTION IN A HEMATOPOIETIC CELL,A01N 37/18,National Jewish Center for Immunology and Respiratory Medicine,Gelfand Erwin W.,"A method useful for regulating cytokine production by a hematopoietic cell by regulating an MEKK/JNKK-contingent signal transduction pathway in such a cell is disclosed. Methods of identifying compounds capable of specifically regulating an MEKK/JNKK-contingent signal transduction pathway in hematopoietic cells, a kit for identifying cytokine regulators, methods to treat diseases involving cytokine production, and cells useful in such methods are also set forth. -GOVT PAC GOVERNMENT RIGHTS PAR This invention was made in part with government support under: AI HL-36577 and DK-37871, each awarded by the National Institutes of Health. The government has certain rights to this invention.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
BRAIN DISSECTION INTEGRATED DEVICE,A61B 16/00,XIANGTAN MEDICINE & HEALTH VOCATIONAL COLLEGE,HE LIXIN,"The utility model discloses a brain dissecting integrated device which comprises a knife rest, a plurality of dissecting knife bodies arranged in sequence are arranged in the middle of the knife rest,fixing columns are fixedly connected to the two ends of each dissecting knife body, grooves are formed in the sides, away from the dissecting knife bodies, of the fixing columns, and movable columnsare arranged in the grooves. One end of the movable column is connected with the inner wall of one side of the groove through a spring, the other end of the movable column is fixedly connected with afirst limiting block located outside the groove, a gear is fixedly connected to the side, away from the movable column, of the first limiting block, and a plurality of gear grooves are symmetrically formed in the two sides of the tool rest and meshed with the gear grooves. And grips are symmetrically arranged on two sides of the knife rest. According to the brain dissecting integrated device, thedissecting knife body and the knife rest are convenient to mount and dismount, the dissecting knife body cannot rotate and shake relative to the knife rest in the mounting process, and meanwhile the inclination angle of the dissecting knife body can be adjusted according to needs.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
EXCLUSIVE PRESERVATION DEVICE FOR HUMAN BRAIN SPECIMENS,B65D 25/02,XIANGTAN MEDICINE & HEALTH VOCATIONAL COLLEGE,HE LIXIN,"The utility model discloses a special human brain specimen preservation device which comprises a preservation tank, a preservation inner container, a tank cover and an annular sealing ring, four rotating pins are fixedly installed on the side walls of the two sides of the preservation inner container, a door frame is fixedly welded to the side surfaces of the rotating pins, and positioning cavities are fixedly formed in the two ends of the door frame. A spring is fixedly welded in the positioning cavity, a positioning plate is fixedly welded to the other end of the spring, a positioning columnis fixedly welded to the other surface of the positioning plate, positioning grooves are fixedly formed in the two ends of the storage inner container, the other ends of the positioning columns are movably installed in the positioning grooves, and a containing frame is fixedly welded to the inner wall of the storage inner container. A liquid injection pipe penetrating through the fixing plate isfixedly arranged in the tank cover, and a sealing cover is movably mounted on the upper surface, located on the liquid injection pipe, of the tank cover. The brain specimen storage device can enable brain specimens to be rapidly and safely loaded into the storage tank.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
TRADITIONAL CHINESE MEDICINE MASSAGE INSTRUMENT,A61H 39/04,CANGZHOU MEDICAL COLLEGE HEIBEI CHINA,ZHANG HUIYAN,"The utility model relates to the technical field of medical instruments, and discloses a traditional Chinese medicine massage instrument which comprises a shell, a first binding belt, a second binding belt, a buckle, a wrapping bag, an air bag, an electric massage ball, a traditional Chinese medicine conditioning bag and a main control panel. The face massager is simple in structure and high in practicability, the face massager can be better attached to the skin of the human face through the air bag, the electric massage balls and the traditional Chinese medicine conditioning bags are arranged on the skin-friendly face of the air bag, the electric massage balls can massage acupuncture points around the human eyes, and the traditional Chinese medicine conditioning bags can relieve eye fatigue; and the eyes can be safely and effectively massaged for health care.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN293798599&_cid=P12-LTRE0S-24981-10
